perplex |  v. 使...困惑, 使...更复杂, 使...为难
inlet |  n. 水湾，入口 // vt.引进，插入
enlarge |  v. 扩大, 增大
brow |  n. 眉毛, 额
balance |  n. 天平, 平衡, 差额, 平静, 调和, 制衡 // vt. 使平衡, 称重量, 权衡, 抵消 // vi. 建立平衡, 均衡
denounce |  v. 告发, 公然抨击
condemn |  vt. 判刑, 谴责, 官方宣称（某事物）有缺陷或不宜使用
certainly |  adv. 当然
bend |  v. 弯曲, 屈服 // n. 弯曲(物), 弯道
imitation |  n. 模仿,效法 // adj. 假造的,冒充的
release |  n. 释放, 让渡, 发行 // vt. 释放, 让与, 准予发表, 发射
recipient |  n. 接受者, 收信人
sigh |  n. 呼吸，叹息（带有情感） // vi. 发出叹息的声音，感叹 // vt. 叹息
penalty |  n. 处罚,惩罚
congratulate |  vt. 祝贺
integrity |  n. 诚实, 正直, 完整, 完善
compartment |  n. 间隔,个别室,卧车包房 // vt. 把...分隔成几个包间
shear |  n. 修剪,剪下的东西,羊的一岁 // vt. 剪掉, 割, 剥夺 // vi. 修剪, 切割, 剥夺, 穿越
pull |  n. 拉,拖,拉绳,影响 // vi. 拔,拉,拖,扳动 // vt. 拉,拔
plan |  n. 计划,策略,方法 // vt. 计划,设计,打算 // vi. 打算
across |  adv. 横过, 使...被理解(或接受) // prep. 穿过, 横过
Sunday |  n. 星期日
welfare |  n. 福利,社会保障,幸福 // adj. 福利的
suspicious |  adj. 可疑的,多疑的
banana |  n. 香蕉
champion |  n. 冠军, 拥护者, 勇士 // vt. 保卫, 拥护
equal |  adj. 相等的,平等的,胜任的 // n. 对手,匹敌,同辈 // vt. 等于,比得上
native |  adj. 本国的,本土的,出生地的,天生的 // n. 本地人,土著人
mother |  n. 母亲 // adj. 母亲的,母体的 // vt. 生育,像母亲一样关爱
mystery |  n. 神秘,秘密,神秘的人或事物
distract |  vt. 转移,分心
vacation |  n. 假期, 休假，腾出 // vi. 度假
entertain |  vt. &vi. 娱乐,招待,怀抱
variable |  adj. 可变的,易变的 // n. 变量, 易变的东西
logical |  adj. 符合逻辑的,逻辑上的,有推理能力的
overturn |  v. 推翻, 颠覆 // n. 倾覆, 打翻, 革命
bleak |  adj. 萧瑟的,严寒的,阴郁的
water |  n. 水,雨水,海水，潮汐，海域 // vt. 浇水,给水喝，给…供水,给（饮料等）掺水 // vi. 形成水，喝水
fact |  n. 实际, 事实
inhibit |  vt. &vi. 禁止,抑制 // [计算机] 禁止
panic |  n. 恐慌,惊惶 // adj. 惊慌的,没有理由的,恐慌的 // vt. 使...惊慌
locality |  n. 地区，位置，地点，发生地
night |  n. 夜晚
quick |  adj.快的，急速的； 聪明的，凌厉的； 灵活的； 短时间做成的 // adv.迅速地，快速地 // n.（指甲下的）活肉； 感情的中枢，感觉最敏锐的地方； 要害，核心
norm |  n. 标准,规范
garlic |  n. 大蒜
headline |  n. (pl.)新闻提要, 大字标题
welcome |  vt.欢迎； 乐于接受 // adj.受欢迎的； 令人愉悦的； 表示感谢的 // n.欢迎，迎接
cabbage |  n. 卷心菜,洋白菜
missile |  n. 导弹,投射物
analytic |  adj. 分析的,分解的
excel |  vt. 超过, 优于 // vi. 胜出 // [计算机] 软件名称
badge |  n. 徽章,标记
bell |  n. 钟,铃,花冠,吼叫声 // vt. 敲钟,使象钟状地张开 // vi. 使呈钟状,张开
dust |  n. 灰尘,无价值之物,屈辱状态 // vt. 拂去灰尘, 撒上粉状物体,大胜 // vi. 擦拭灰尘
briefcase |  n. 公文包
human |  n.人，人类 // adj.人的； 有人性的； 显示人类特有弱点的； 人本性的
sex |  n. 性,性别,性欲 // vt. 区别...性别,引起...性欲
cab |  n. 出租汽车, 司机室, 驾驶室, 轻便马车 // vi. 乘出租车
guilt |  n. 罪行, 内疚
pierce |  v. 刺穿, 穿透, 洞悉
rural |  adj. 农村的
end |  n. 结束,终点,目标,末端 // vt.& vi. 结束,终结 // adj. 最终的
toil |  n.辛苦, 苦工, 网, 罗网, 圈套 // v.苦干, 跋涉, 费力地做
drama |  n. 剧本,戏剧,戏剧性情节,刺激
humiliate |  v. 使...丢脸,使...蒙羞,屈辱
pact |  n. 契约, 协定, 条约
practical |  adj. 实际的,实用的,明智的 // n. 实践考试
occur |  vi.发生； 出现； 闪现
solar |  adj. 太阳的,太阳能的
horizon |  n. 地平线；视野；眼界
glide |  n. 滑动, 滑过, 流水 // v. 滑动, 滑翔, 溜走
huge |  adj. 巨大的,程度高的
they |  pron. 他们
impair |  vt. 损害,削弱 // [计算机] 损伤
faculty |  n.能力，才能； 全体教职员； <英>（大学的）专科，系； 特权，特许
housing |  n. 房屋(外壳, 外套, 外罩, 住宅, 卡箍, 遮盖物)
humid |  adj. 潮湿的
oxide |  n. 氧化物
maneuver |  n. 演习,调遣,策略 // vt. 调遣,演习,巧妙地操纵 // vi. 调遣,演习,用计策
his |  pron. 他的
lavatory |  n. 盥洗室, 厕所
helpful |  adj. 有帮助的, 有益的
confidential |  adj. 机密的,获他人信赖的,易于信任他人的
telegram |  n. 电报 // vt 用电报发送(打电报)
scarce |  adj. 缺乏的,不足的,稀少的,罕见的 // adv. 勉强
arrange |  vt. 安排,整理,计划,改编(乐曲) // vi. 协商,计划
rush |  vi.（使）急速行进，仓促完成； 猛攻； 急速流动，奔腾 // vt.突袭； （使）仓促行事； 催促； （为物色、招募目的）特别关注 // n.冲； 匆忙； 繁忙的活动； 涌动
scrutiny |  n. 详细审查；监视；细看；选票复查
concern |  vt. 涉及, 影响, 关心 // n. 关心, 忧虑, 关心的事; 公司, 企业
commend |  vt. 推荐，嘉奖，把……托付给 // vi. 推荐
remnant |  adj. 剩余的 // n. 残(剩)余
solitary |  adj. 孤独的,独立的,荒凉的 // n. 隐士,
training |  n. 训练
indoor |  adj. 户内的, 室内的
clay |  n. 粘土,泥土
nickname |  n. 绰号, 昵称 // v. 给...取绰号, 叫错名字
fasten |  vt. 拴紧,使固定,系,强加于 // vi. 固定,系紧,抓紧
distant |  adj. 遥远的,疏远的，远房的，陌生的，远行的
cereal |  adj. 谷类(的),谷物(的) // n. 谷类食物
enormous |  adj. 巨大的, 庞大的
commerce |  n. 商业, 贸易
pronounce |  vt.& vi. 发音,宣告,断言,发表意见
soft |  adj. 柔软的,温和的,不强烈的,细腻的,轻的 // adv. 柔软地,温和地 // n. 柔软的东西
political |  adj. 政治的, 政党的, 派系斗争的, 有政治头脑的
present |  n. 礼物, 现在 // adj. 当面的, 出席的, 现在的 // v. 赠送, 提出, 呈现
somebody |  pron. 某人, 有人 // n. 重要人物
overseas |  adj. 海外的 // adv. 在海外
snap |  v. 猛咬, 谩骂, 砰然关上, 拍摄, 崩塌，劈啪作响 // n. 啪嗒声, 快镜头，突然释放 // adj. 匆忙的，突然的 // adv. 劈啪作响地
beach |  n. 海滩 // v. 拖(船)上岸 // vt. 使船冲上滩
amend |  vt. 修正,改善,改良 // vi. 自我修正
hide |  vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖 // vi.隐瞒； 遮住； 遮挡； 掩盖 // n.兽皮； <口>生命； <口>人的皮肤； （观看野生动物的）隐蔽处
alphabet |  n. 字母表,基本原理(元素)，符号系统
nearby |  adj. 附近的 // adv. 在附近 // prep. 在...附近
spelling |  n. 拼法, 拼写
mute |  n. 哑子,默音字母,弱音器 // adj. 哑的,无声的,沉默的 // vt. 减音,减弱 // vi. (鸟)排泄
main |  adj. 主要的 // n. 主要部分,干线,（水、煤气、电等的）供应系统,体力
chemist |  n. 化学家, 药剂师
conscientious |  adj. 审慎正直的,认真的,本着良心的
lend |  vt. 借,贷款,给予,增添 // vi. 贷款
prime |  adj. 最初的,首要的,最好的，典型的 // n. 青春,壮年,全盛时期 // vt. 事先指点,在（金属、木材等上）打底漆  // vi. 变得首要
river |  n. 江, 河
presently |  adv. 不久, 一会儿, 现在, 目前 // adv.
imperial |  adj. 帝国(王)的,至尊的,特大的 // n. 皇帝, 女皇, 马车车顶, 特大号, 特级品
chimney |  n. 烟囱
evidence |  n. 根据, 证据 // vt. vi. 证实, 证明
alone |  adj. 单独的,仅仅，独自一人的 // adv. 只有,独自地, 独一无二地
hunt |  n. 狩猎, 追捕, 搜寻 // v. 狩猎, 打猎, 搜索
retention |  n. 保存(保持力,包装牢固,记忆力,保留物)
pretext |  n. 借口
locker |  n. 柜(箱, 橱, 机架, 室, 锁夹, 锁扣装置)
aggressive |  adj. 侵略性的；好斗的；有进取心的；有闯劲的
stand |  n. 站立,停顿,楼台,货摊 //  // vi. 站立,位于，停滞 //  // vt. 忍受,使站立
bald |  adj. 秃头的,单调的 // vt. &vi. 使变秃头
facilitate |  vt. 帮助, 使...容易, 促进
semiconductor |  n. 半导体
inhale |  v. 吸入,吞咽
decade |  n. 十年
literary |  adj. 文学的
jazz |  n. 爵士乐，爵士舞，空扯的话，以及类似的东西 // vt. 使...活泼，把...演奏成爵士风格 // vi. 闲逛，跳爵士舞
tidy |  n. (沙发, 椅子等的)背罩, 装杂物的容器 // adj. 饱满的, 令人满意的, 整洁的, 可观的 // vt. 使整齐 // vi. 整理
compute |  vt. 计算
white |  adj. 白色的,白种的,纯洁的,幸运的 // n. 白色,白种人
acknowledge |  vt. 承认,公认,告知收到,表示感谢,注意到
moon |  n. 月亮
entertainment |  n. 娱乐
doctorate |  n. 博士学位
there |  adv.在那里； 那里； 在那一点上 // pron.表示某物或某人的存在或某事的发生（常用作be, seem或appear的主语） // int.（表示满足、烦恼）你瞧，好啦，得啦
ballot |  n. 投票,投票用纸 // vi. 投票
drink |  n. 饮料 // vt. &vi. 喝,喝酒
disturbance |  n. 扰乱,骚动
electric |  adj. 电的,令人激动的,鲜亮的 // n. 供电
shoot |  n. 射击,芽,发射 // vt. 射击,发出,发芽 // vi. 飞驰
confuse |  vt. 混乱,狼狈,困惑
prospective |  adj. 未来的, 预期的
although |  conj. 尽管, 虽然
interact |  vi. 相互作用,相互影响
determine |  vt.& vi.（使）下决心，（使）做出决定 // vt.决定，确定； 判定，判决； 使决定； 限定 // vi.[主用于法律]了结，终止，结束
script |  n. 原稿,手稿,脚本 // vi. 写剧本
grow |  vt. &vi. 种植,生长,变成,逐渐开始
means |  n. 方法,手段，折中点，物质财富
Madame |  n. 夫人
most |  adv.最，最多（大）； much的最高级； 非常，很； 几乎 // adj.many的最高级； 最多的，最大的； 大概的； 大多数的，大部分的 // n.最大限度； 大部分； 大多数人
minority |  n. 少数, 少数民族, 未成年
tailor |  n. 裁缝师,成衣匠 // vt. 缝制,适应,试穿,修改 // vi. 做裁缝
health |  n. 健康,卫生,保健
kite |  n. 风筝 // vt.& vi. 用空头支票骗人,使上升
passive |  adj. 被动的,消极的 // n. 被动性
explanation |  n. 解释, 说明
hate |  n. 憎恨,厌恶,厌恶的人或事 // vt. 憎恨,不愿 // vi. 表示憎恨
superb |  adj. 极好的
active |  adj. 积极的；活跃的；主动的；有效的；现役的 // n. 主动语态；积极分子
fellowship |  n. 友谊，团体，会员资格，奖学金
snatch |  n. 抢夺,碎片,一阵,一瞬间,一点点 // vt. &vi. 夺取,抢劫,抓住
anxious |  adj. 焦急的, 忧虑的
negative |  adj. 否定的,负的,消极的 // n. 底片，负数，否定 // vt. 否定
parameter |  n. 参数,参量,决定因素
stability |  n. 稳定性,居于修道院
pioneer |  n. 先锋,拓荒者,先驱生物 // vt. 提倡,开辟 // vi. 做先驱
brown |  adj. 褐色的,棕色的 // n. 褐色,棕色 // (姓)布朗
reduce |  vt.换算； 约束； 使变为； 使变弱 // vi.减少； 减轻体重； [生物学]（细胞）减数分裂； （液体）浓缩变稠
heap |  n. 堆,许多,累积 // vt. 使成堆,装满 // [计算机] 堆
scale |  n. 鳞, 刻度, 衡量, 数值范围 // v. 依比例决定, 攀登
helicopter |  n. 直升机
tow |  n. 拖, 拖曳所用之绳, 麻的粗纤维 // v. 拖, 曳
commit |  v. 委托(托付), 犯罪, 作...事, 承诺 // [计算机] 委托
metal |  n. 金属,质料 // adj. 金属制的 // v. 以金属覆盖
side |  n. 旁边,侧,方面 // adj. 旁的,侧的 // vt. 支持,同意 // vi. 支持
corner |  n.角落，角； 拐角； 困境； [商]囤积 // vi.驾车转弯； 聚于角落 // vt.垄断； 逼入困境 // adj.位于角落的
chemistry |  n. 化学,化学性质,相互作用
noisy |  adj. 喧闹的,嘈杂的 // n. 嘈杂声,响声
scholar |  n. 学者，获奖学金的学生
overwhelm |  v. 淹没,受打击,压倒
salute |  v. 行礼, 致意, 问候
jog |  n. 轻推,轻撞,漫步 // vt.& vi. 轻推,蹒跚行进,慢跑
everyday |  adj. 每天的,日常的 // b.平常的日子
sport |  n. 运动,游戏,娱乐,玩笑,大度的人 // adj. 运动的,休闲的 // vt. &vi. 游戏,戏弄,炫耀
champagne |  n. 香槟酒, 香槟色
sip |  n. 啜饮 // v. 啜饮, 啜
breadth |  n. 宽度
board |  n. 木板, 甲板, 董事会 // n. 伙食; 舞台, 演员的职业; 船舷 // vt. 登(飞机、车、船等); 有偿提供食宿; 用木板覆盖 // vi. 搭伙
site |  n. 位置,场所 // v. 使...位于,使...放置
institute |  n. 学会,学院,协会 // vt. 创立,开始,制定
compassion |  n. 同情,怜悯
gum |  n. 树胶,橡皮(糖),齿龈,粘性物质,牙床 // vt. 搞砸,用牙床嚼,以树胶粘合 // vi. 形成胶质,发粘
reading |  adj. 阅读的 // n. 阅读
used |  adj. 使用过的, 二手的, 习惯的 // v. 用, 以前曾经 // vbl. 用, 习惯
sunset |  n. 日落，衰落时期（尤指人的晚年）
pedestrian |  adj. 徒步的,缺乏想像的 // n. 行人
August |  n. 八月(大写时） // adj. 威严的,尊严的(小写时）
learned |  adj. 有学问的, 博学的 //  learn的过去式和过去分词
sauce |  n. 调味汁,酱汁,无礼的话(或举动) // vt. 给...调味,使...增加趣味,无礼
squirrel |  n. 松鼠, 松鼠皮毛 // vt. 储存
ivory |  n. 象牙,乳白色 // adj. 象牙制的,乳白色的
five |  num. 五 // pron.&amp;adj. 五(个,只...)
beloved |  adj. 心爱的
far |  adv.&amp;adj. 远的(地) // n. 远处
communicate |  vt. 传达, 传播 // vi. 交流, 沟通, 联通
federation |  n. 联邦, 联合, 联盟
studio |  n. 工作场所,画室，照相室，制片厂
engineer |  n. 工程师 // v. 设计,制造 // vt. 操纵,设计,建造
through |  adv. 穿越, 完全 // prep. 经过, 穿过, 凭借 // adj. 完成的, 完结的; 贯穿的, 直通的
provoke |  vt. 激怒, 惹起, 驱使
chat |  n. 聊天,闲谈 // vt. &vi. 谈天,闲谈
tilt |  vi. 倾斜；翘起；以言词或文字抨击 // vt. 使倾斜；使翘起 // n. 倾斜
pace |  n. 速度,步调,步法 // vt. 踱步,调整节奏 // vi. 缓慢地走
machine |  n.机器，机械； 机械般的人； 核心 // vt.用机器制造，用机器加工 // vi.被机器切削
professor |  n. 宣称者,教授
smoke |  n. 烟, 无常的事物, 抽烟 // v. 吸烟, 以烟熏, 冒烟
maiden |  n. 未婚女子,断头机,从未赢过的赛马 // adj. 未婚的,处女的,初次的
duck |  n. 鸭，鸭肉，板球零分 // vt. 把…按入水中，低头弯身（以免被打中或看见)，躲避 // vi. 迅速行进，飞快行走（以免被看见），推委责任
lock |  n.锁； 水闸，船闸； （机器部件等的）锁定； 一把，一撮 // vt.锁上； 锁好，关好； 使固定； 隐藏 // vi.卡住，不动； 纠结； 僵硬不动
kidnap |  v. 绑架,诱拐,拐骗
cloud |  n. 云,云状的烟，阴影 // vt. 使…模糊，以云遮敝,笼罩，使…混淆,毁坏 // vi. 脸色显得阴沉
frequency |  n.&amp;adj. 频繁,频率
southern |  adj.南方的，南部的； 来自南方的 // n.南方人，南部人
huddle |  n. 杂乱一团, 混乱, 拥挤 // v. 推挤, 乱堆, 草率了事
dangerous |  adj. 危险的,引起危险的
taboo |  n. 禁忌,禁止接近,禁止使用 // adj. 禁忌的 // vt. 禁忌,禁制,禁止
sympathetic |  adj. 同情的,共鸣的 // n. 交感神经
gas |  n. 煤气,气体,汽油,空话,能量 // vt. 使吸入毒气,死,给...加汽油 // vi. 空谈,加汽油
utter |  adj. 全然的,绝对,完全 // vt. &vi. 发出,作声,发表
sing |  vt. 唱,鸣唱,用诗赞美,叫,响 // vi. 唱歌 // n. 合唱
cripple |  n. 跛者, 残废 // v. 使...跛, 使...成残废, 削弱
cold |  adj. 冷的, 漠然的, 客观的 // n. 感冒, 低温 // adv. 唐突地, 无回旋余地地, 即兴地
burst |  n. 破裂,阵,爆发 // vt.&vi. 爆裂,突发
during |  prep. 在...期间
epoch |  n. 时期，时代，新纪元，划时代的大事，世
audio |  adj. 成音频率的,声音的 // n. 音响设备
grin |  v. 露齿而笑，咧着嘴笑 // n. 露齿笑
redundant |  adj. 多余的,失业的
reclaim |  v. 开垦, 纠正, 收回
settlement |  [建]沉降; 解决, 结算,殖民(地), 租界; 居留地; 新建区; 住宅区
lad |  n. 少年, 小伙子
capacity |  n. 能力, 容量, 容积; 资格, 职位 // adj. (达到最大容量)满的
comprise |  vt. 包含,构成
fit |  adj. 适宜的,对的,准备好的 // v. 适合,安装 // n. 适宜,发作,一阵
toll |  n. 通行费,代价,伤亡人数,钟声 // vi. 征收通行税,鸣钟 // vt. 向某人征税,钟响,引诱
equator |  n. 赤道
journalist |  n. 记者, 新闻工作者
obtain |  vt. 获得, 得到 // vi. 通用, 流行, 存在
orderly |  adj. 有秩序的, 整齐的, 一丝不苟的, 和平的 // adv. 有秩序地，有条理地，依次地 // n. 勤务兵, （医院的）勤务工
despite |  prep. 不管, 尽管 // v.憎恨, 轻视
substitute |  n. 代替者,代用品 // v. 代替 // vi. (for)代替 // vt. 用...代替,代以
sober |  adj. 冷静的，清醒的；未醉的 // vt. 使严肃；使醒酒，使清醒
because |  conj. 因为
sneeze |  n. 喷嚏 // vi. 打喷嚏
cook |  vi. 烧菜, 发生, 做好 // vt. 编造, 烧, 虚构 // n. 厨师, 烧菜
lung |  n. 肺,呼吸器官
moreover |  adv.再者； 此外； 而且； 同时
highlight |  n. 加亮区,精彩部分, 最重要的细节或事件, 闪光点 // vt. 加亮,强调, 使...显得重要, 照亮 // [计算机] 醒目
kneel |  v. 跪
display |  n. 显示,陈列,炫耀 // vt. 显示,表现,夸示
park |  n. 运动场,专业区,园区,公园,停车处 // vt. 停车,放排放置于 // vi. 停车
problem |  adj. 成问题的, 难对付的 // n. 问题
ash |  n. 灰, 灰烬
hundred |  n. 百,百个东西 // adj. 百,百个
lapse |  n. 过失,流逝,失效,抛弃信仰,间隔 // vi. 堕落,停止,失效,流逝 // vt. 使失效
struggle |  n. 竞争,努力,奋斗 // v. 努力,奋斗,挣扎
antenna |  n. 触角,天线,感觉,直觉
strange |  adj. 陌生的, 奇怪的
dilute |  vt. 冲淡,稀释 // adj. 冲淡的,稀释的,微弱的
drip |  n. 滴, 点滴, 乏味的人, 水滴 // v. 滴下, 漏水
respective |  adj. 各自的, 分别的
adopt |  v. 采用, 收养, 接受
vulnerable |  adj. 易受伤害的, 有弱点的
arouse |  vt. 唤醒,激发,激起 // vi. 唤醒
create | vt. 创造, 造成
gate |  n. 大门
rubbish |  adj. 毫无价值的 // n. 废话,垃圾,废物
mingle |  vt. 混合 // vi. 联合, 交际
brave |  adj. 勇敢的,缤纷的,绚丽的 // vt. 勇敢地面对(危险等),抵抗 // n. 勇敢的人
defend |  vt. &vi. 防护,辩护,防卫
steal |  vt.偷； 悄悄地做，悄悄地走； 潜行； 不正当的获得 // vi.偷； 偷偷地行动：秘密、不显明地行动、发生或消失； [棒球]偷垒 // n.偷窃； 便宜货； 便宜货
concentrate |  vt.& vi.专心于； 注意； 集中； 聚集 // vt.浓缩，（使）浓缩； [采矿]汰选； 选矿，精选，富集 // vi.凝缩，浓缩，提纯 // n.浓缩物 // adj.集中起来的，经过浓缩的
handsome |  adj. 英俊的,慷慨大方的,可观的,灵巧的
discipline |  n. 训练, 纪律, 惩罚; 学科 // vt. 训练, 惩罚
intermediate |  adj. 中级的,中间的 // n. 中间体,媒介物, 调解人 // vi. 调解, 干涉
geography |  n. 地理
nation |  n. 国家, 民族
expansion |  n. 扩大,膨胀,扩充
ethnic |  adj. 民族的，种族的，有民族特色的 // n. 少数民族的一员
induce |  vt. 引诱,导致,催生
rope |  n. 绳，绳索 // vt. 捆，绑 // vi. 拧成绳状
western |  n. 西方人, 西部片, 西部小说 // adj. 西方的, 西洋的, 西部的
sensitive |  adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的  // n. 敏感的人
canvas |  n. 帆布，（帆布）画布，油画
consideration |  n. 考虑, 体贴, 考虑因素, 敬重, 意见
velvet |  n. 天鹅绒，[俚语]赌博赢的钱；意外的赢利(或收益) // adj. 天鹅绒的
trolley |  n.手推车； 触轮； 电车，有轨电车； 空中吊运车 // vt.&vi.载运用有轨电车运送（乘客）； 乘电车
vase |  n. 花瓶
acid |  adj. 酸的 // n. 酸, 酸味物质
gigantic |  adj. 巨大的
stab |  n. 刺,戳,刺伤的伤口,剧痛,尝试 // vt. 刺伤,中伤 // vi. 刺,扎
inch |  n. 英寸 // v. 慢慢前进,慢慢移动
muscle |  n. 肌肉 // vt. 用力挤 // vi. 用力进行
pave |  v. 铺设, 安排, 为...铺路
contribution |  n. 贡献,捐款(赠)
whatsoever |  adv. (用于否定句中以加强语气)任何 // pron.&amp;adj. 无论什么
fortunate |  adj. 幸运的,侥幸的
erosion |  n. 腐蚀,侵蚀
waist |  n. 腰, 腰部
linguistic |  adj. 语言的, 语言学的
floor |  n. 地板,楼层,底部,地面,议员,底线 // vt. 铺地板,击倒,油门踩到底
incorporate |  vt.组成公司； 包含； 使混合； 使具体化 // vi.包含； 吸收； 合并； 混合
criminal |  adj. 犯罪的, 刑事的, 无耻的 // n. 罪犯
vice |  n. 恶习,恶行,罪恶,缺陷,恶癖,老虎钳 // vt. 钳住 // prep. 代替,副,次
illegal |  adj. 不合法的,非法的 // n. 非法移民
pity |  n. 遗憾的事,同情,可惜 // vt. &vi. 同情,怜悯
technical |  adj. 工艺的, 技术的
relevant |  adj. 相关的, 切题的, 中肯的
sin |  n. 罪,罪孽,过失 // vi. 犯罪,违反
roll |  vt.辗； 使（眼球等）左右转动； （使）原地转圈； 滚动 // vi.左右摇晃； 翻滚； 开始移动，启动 // n.名册； 滚翻
flock |  n. 一群,信众,软填料,短绒,棉絮,毛屑 // vt. 塞填充料 // vi. 成群而行,聚集
warn |  vt. 警告,注意,远离 // vi. 提醒
speaker |  n. 说话者, 发言者, 说某种语言者, 扬声器
discriminate |  vt. 区分，区别对待 // vi. 辨别，差别对待
stern |  n. 尾部,船尾 // adj. 严厉的,坚决的,可怖的
splendid |  adj. 辉煌的；灿烂的；极好的；杰出的
plural |  adj. 复数的 // n. 复数
foremost |  adj. 最初的 // adv. 在最前面
complication |  n. 并发症；复杂；复杂化；混乱
sketch |  n. 素描,草图,概述,小品 // vt. 描绘略图 // vi. 写生
show |  n. 显示,表现,表演,事情 // vt. &vi. 表示,显现,展现,指示
aeroplane |  n. 飞机
distance |  n. 距离, 远方, 路程 // vt. 与 ... 保持距离, 把(对手)甩在后面 // adj. 远程(教育)的
batch |  n. 一次所烘的面包,一次所制之量,一组, 批, 分批 // vi. 分批处理
resolute |  adj. 坚决的, 果断的
comparable |  adj. 可比较的, 比得上的
foreign |  adj. 外国的,外交的,不相关的
fifteen |  num. 十五 // pron. 十五(个, 只...) // adj. 十五的，十五个的
optimistic |  adj. 乐观的, 乐观主义的
social |  adj. 社会的,群居的,社团的
vehicle |  n. 传播媒介, 工具, 手段, 交通工具, 车辆;
accurate |  adj. 准确的, 精确的
guild |  n. 公会,协会
wrist |  n. 腕,腕关节
remember |  vt. &vi. 记得,记忆
shelter |  n. 庇护所,避难所,庇护 // vt. &vi. 庇护,保护,隐匿
stream |  n. (人,车,气)流,水流,组 // vt. 流出,飘动 // vi. 流动,飘动,接踵而来
fond |  adj. 喜欢的；温柔的；宠爱的
organize |  vi. 组织起来 // vt. 组织
wreck |  n. 失事,残骸,破坏,健康受损的人 // vt. 破坏,造成...失事 // vi. 失事,营救失事物
assure |  vt. 保险,保证,确信,担保
aspect |  n. 方面, 外貌, 外观; 方位, 方向
trash |  n. 废物,垃圾 // vt. 废弃,擦去,捣毁 // vi. 捣毁
fashionable |  adj. 流行的, 时髦的
swan |  n. 天鹅 // vi. 闲荡, 游荡
conflict |  n.冲突； 战斗； 相互干扰； 矛盾 // vi.抵触； 争斗； 战斗； 冲突
uphold |  v. 支撑, 赞成, 鼓励
brilliant |  adj. 灿烂的,有才气的,杰出的
device |  n. 装置, 设计, 策略, 设备
fortnight |  n. 两星期，十四天
augment |  vt. 增加,补充 // vi.扩大 // n. 增加,补充物
superfluous |  adj. 多余的，过剩的
spectator |  n. 观众, 旁观者
citizen |  n. 公民, 市民
ours |  pron. 我们的
door |  n. 门
steward |  n. 乘务员；干事；理事 // vt.&vi. 做乘务员,管理
garage |  n. 车库, 汽车修理厂 // vt. 把...放入车库
demand |  n. 要求; 需求 // v. 要求, 查问; 需要
corrode |  v. 使腐蚀,侵蚀,破害 // v. 腐蚀,被侵蚀
border |  n. 边缘 // vt. 作...之疆界,加边
hardware |  n. 五金器具 // n. (计算机) 硬件
female |  adj. 雌的,女(性)的 // n. 雌性的动植物,女子
hijack |  vt. 抢劫, 劫持, 劫机
surpass |  vt. 超越,凌驾,胜过
west |  adj. 西方的 // adv. 向(在)西方 // n. 西, 西方
owl |  n. 猫头鹰
designate |  adj. 指定的 // vt. 指定,选派,标明
poisonous |  adj. 有毒的
plantation |  n. 种植园，大农场，殖民地
culture |  n. 文化,教养,种植 // vt. 培养
lecture |  vt. &vi. 讲课, 教导 // n. 演讲, 教训, 斥责
filter |  n. 筛选,滤波器,过滤器,滤色镜 // vt. &vi. 过滤,渗透 // [计算机] 过滤
setting |  n.镶嵌； 环境； 装置； （某事、戏剧、小说等的）背景 // v.放( set的现在分词)； 安插； 树立； 安排
forget |  vt. &vi. 忘记,忽略
acre |  n. 英亩
portray |  v. 描写,描写...的肖像,逼真地描写
opponent |  n. 对手, 敌手, 反对者 // adj. 敌对的, 反对的
tug |  n. 用力拉, 拖船 // v. 用力拉
preach |  vi. 传道, 宣扬 // vt. 讲道, 说教
basic |  adj.基本的； [化学]碱性的； [地质学]基性的； 首要的 // n.基础，基本； 基本原则，基本原理，基本规律； 要素； 基础训练
difficult |  adj. 困难的, (人)难取悦的, 难相处的
oppress |  v. 使(心情等)沉重,使烦恼,压迫,压制某人 // vt. 压迫,压制
choose |  vt. &vi. 选择
sparkle |  n. 闪耀, 火花 // v. 闪耀, 冒火花
priest |  n. 教士, 神父
rotary |  adj. 旋转的 // n. 旋转式机器，环形交叉路
personality |  n. 个性, 名人, 特色
god |  n. 神,偶像,(God)上帝 // vt. 像对神一样崇拜
anguish |  n. 苦闷, 痛苦 // v. 使...极苦闷, 使...极痛苦
territory |  n. 领土, 版图, 领域, 范围
lay |  lie的过去式 // vt.放置； 铺放； 涂，敷； 产卵 // adj.世俗的； 外行的； 没有经验的 // n.叙事诗； 性伙伴
calcium |  n. 钙
act |  n. 行为,行动,法案,（戏剧、歌剧等的）一幕 // vt. 表演,扮演 // vi. 表演,行动,表现,充当,奏效
cohesive |  adj. 粘性的(有结合性的, 有粘聚性的)
veto |  n. 否决权 // v. 否决 // vi. 否决, 禁止 // vt. 使用否决权
flight |  n.（物体的）飞行； 航班； 飞翔； 楼梯的一段 // vi.成群地迁徙或飞行 // vt.射击； 使惊飞
skeptical |  adj. 怀疑的
answer |  vt.& vi.答复； 解答； 答辩； 适应 // n.回答； 答案； 反应； 足以媲美的人
knife |  n. 刀 // v. 用刀切割, 如刀割般
dioxide |  n. 二氧化物
enhance |  vt. 提高,加强,增加
